id,group,group_name,topic,wording,response_scale,source_survey,citation,copyright_status,benchmark_availability,verification,render,notes
aps-life-satisfaction,outcomes,Wellbeing and satisfaction,Overall life satisfaction,"Overall, how satisfied are you with your life nowadays?","0 to 10, where 0 is 'not at all' and 10 is 'completely'.",ONS personal well-being questions (Annual Population Survey),"Office for National Statistics, personal well-being questions, Annual Population Survey. Crown copyright.",OGL,Item-level benchmark held (see benchmark field).,verified,True,ONS personal well-being measure 1 of 4.
aps-worthwhile,outcomes,Wellbeing and satisfaction,Sense that life is worthwhile,"Overall, to what extent do you feel that the things you do in your life are worthwhile?","0 to 10, where 0 is 'not at all' and 10 is 'completely'.",ONS personal well-being questions (Annual Population Survey),"Office for National Statistics, personal well-being questions, Annual Population Survey. Crown copyright.",OGL,Item-level benchmark held (see benchmark field).,verified,True,ONS personal well-being measure 2 of 4.
aps-happiness,outcomes,Wellbeing and satisfaction,Happiness yesterday,"Overall, how happy did you feel yesterday?","0 to 10, where 0 is 'not at all' and 10 is 'completely'.",ONS personal well-being questions (Annual Population Survey),"Office for National Statistics, personal well-being questions, Annual Population Survey. Crown copyright.",OGL,Item-level benchmark held (see benchmark field).,verified,True,ONS personal well-being measure 3 of 4.
aps-anxiety,outcomes,Wellbeing and satisfaction,Anxiety yesterday,"Overall, how anxious did you feel yesterday?","0 to 10, where 0 is 'not at all anxious' and 10 is 'completely anxious'.",ONS personal well-being questions (Annual Population Survey),"Office for National Statistics, personal well-being questions, Annual Population Survey. Crown copyright.",OGL,Item-level benchmark held (see benchmark field).,verified,True,ONS personal well-being measure 4 of 4. Prior compilations often omitted the anxiety item; it is completed here so the ONS-4 set is whole.
ses-job-satisfaction,outcomes,Wellbeing and satisfaction,Overall job satisfaction,,1 to 7 (completely dissatisfied to completely satisfied),Skills and Employment Survey 2017,"Felstead A, Gallie D, Green F et al., Skills and Employment Survey 2017. Cardiff University, UCL, University of Oxford; ESRC.",permission required; none requested,Periodic Great Britain estimates (SES series).,unverified,False,Single-item overall job satisfaction; also carried in Understanding Society.
perma-joy,outcomes,Wellbeing and satisfaction,Positive affect at work (joy),,0 to 10,PERMA-Profiler,"Butler J, Kern ML (2016), The PERMA-Profiler.",permission required; none requested,Instrument-specific reference scores.,unverified,False,PERMA-Profiler item; referenced only.
oecd-positive-outlook,outcomes,Wellbeing and satisfaction,Positive outlook,,5-point (always to never),OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
ess-wlb-satisfaction,outcomes,Wellbeing and satisfaction,Satisfaction with work-life balance,,0 to 10,European Social Survey,European Social Survey ERIC (ESS). Rounds vary by item.,ESS,Cross-national benchmarks (ESS).,unverified,False,European Social Survey Round 6.
aps-self-rated-health,health,Health and functioning,Self-rated general health,,5-point (very good to very bad),ONS personal well-being questions (Annual Population Survey),"Office for National Statistics, personal well-being questions, Annual Population Survey. Crown copyright.",OGL,UK national annual benchmarks (ONS).,unverified,False,"Self-rated health; carried in APS, EWCS and ESS with varying wording."
ewcs-work-health-risk,health,Health and functioning,Perceived health or safety risk from work,,yes / no,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
nhs-msk,health,Health and functioning,Musculoskeletal problems attributed to work,,yes / no,NHS Staff Survey,NHS Staff Survey (NHS England; Survey Coordination Centre).,NHS,NHS sector benchmarks (NHS England).,unverified,False,NHS Staff Survey item; text withheld; permission would be required to reproduce it and none has been requested.
nhs-work-stress-illness,health,Health and functioning,Work-related stress reported as illness,,yes / no,NHS Staff Survey,NHS Staff Survey (NHS England; Survey Coordination Centre).,NHS,NHS sector benchmarks (NHS England).,unverified,False,NHS Staff Survey item; text withheld; permission would be required to reproduce it and none has been requested.
who5-cheerful,health,Health and functioning,WHO-5: cheerful and in good spirits,,0 to 5 (all of the time to at no time),WHO-5 Well-Being Index,"World Health Organization, WHO-5 Well-Being Index.",WHO CC BY-NC-SA,Instrument-specific reference scores (WHO).,unverified,False,"WHO-5 item; referenced only, text not reproduced."
who5-calm,health,Health and functioning,WHO-5: calm and relaxed,,0 to 5 (all of the time to at no time),WHO-5 Well-Being Index,"World Health Organization, WHO-5 Well-Being Index.",WHO CC BY-NC-SA,Instrument-specific reference scores (WHO).,unverified,False,"WHO-5 item; referenced only, text not reproduced."
who5-active,health,Health and functioning,WHO-5: active and vigorous,,0 to 5 (all of the time to at no time),WHO-5 Well-Being Index,"World Health Organization, WHO-5 Well-Being Index.",WHO CC BY-NC-SA,Instrument-specific reference scores (WHO).,unverified,False,"WHO-5 item; referenced only, text not reproduced."
who5-fresh,health,Health and functioning,WHO-5: woke up fresh and rested,,0 to 5 (all of the time to at no time),WHO-5 Well-Being Index,"World Health Organization, WHO-5 Well-Being Index.",WHO CC BY-NC-SA,Instrument-specific reference scores (WHO).,unverified,False,"WHO-5 item; referenced only, text not reproduced."
who5-interest,health,Health and functioning,WHO-5: daily life filled with interesting things,,0 to 5 (all of the time to at no time),WHO-5 Well-Being Index,"World Health Organization, WHO-5 Well-Being Index.",WHO CC BY-NC-SA,Instrument-specific reference scores (WHO).,unverified,False,"WHO-5 item; referenced only, text not reproduced."
nhs-presenteeism,health,Health and functioning,Presenteeism: attending work while unwell,,yes / no,NHS Staff Survey,NHS Staff Survey (NHS England; Survey Coordination Centre).,NHS,NHS sector benchmarks (NHS England).,unverified,False,NHS Staff Survey item; text withheld; permission would be required to reproduce it and none has been requested.
nhs-presenteeism-pressure,health,Health and functioning,Pressure to attend work while unwell,,yes / no,NHS Staff Survey,NHS Staff Survey (NHS England; Survey Coordination Centre).,NHS,NHS sector benchmarks (NHS England).,unverified,False,NHS Staff Survey item; text withheld; permission would be required to reproduce it and none has been requested.
us-physical-activity,behaviours,Health behaviours,Physical activity days per week,,0 to 7 days,"Understanding Society (UK Household Longitudinal Study), Wave 9","University of Essex, Institute for Social and Economic Research. Understanding Society: the UK Household Longitudinal Study.",permission required; none requested,UK population estimates (UK Data Service).,unverified,False,
us-diet,behaviours,Health behaviours,Fruit and vegetable consumption,,frequency,"Understanding Society (UK Household Longitudinal Study), Wave 9","University of Essex, Institute for Social and Economic Research. Understanding Society: the UK Household Longitudinal Study.",permission required; none requested,UK population estimates (UK Data Service).,unverified,False,
csps-workload,demands,Job demands and intensity,Acceptable workload,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
ewcs-deadlines,demands,Job demands and intensity,Working to tight deadlines,,7-point (all of the time to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-time-enough,demands,Job demands and intensity,Enough time to do the job,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-hide-feelings,demands,Job demands and intensity,Required to hide feelings,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,Emotional demand.
ewcs-night-work,demands,Job demands and intensity,Frequency of night work,,days per month or never,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,Unsocial hours.
ewcs-long-days,demands,Job demands and intensity,Frequency of long (10+ hour) days,,days per month or never,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-painful-positions,demands,Job demands and intensity,Tiring or painful positions,,7-point (all of the time to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,Physical load.
ewcs-repetitive-movements,demands,Job demands and intensity,Repetitive hand or arm movements,,7-point (all of the time to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,Physical load.
ewcs-apply-ideas,control,"Control, autonomy and skill use",Able to apply own ideas,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-consulted,control,"Control, autonomy and skill use",Consulted before objectives are set,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
oecd-influence-decisions,control,"Control, autonomy and skill use",Influence over important decisions,,5-point (always to never),OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
ewcs-work-methods,control,"Control, autonomy and skill use",Can choose or change work methods,,yes / no,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-learning,control,"Control, autonomy and skill use",Learning new things at work,,yes / no,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-training-employer,control,"Control, autonomy and skill use",Employer-provided training,,yes / no,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-training-otj,control,"Control, autonomy and skill use",On-the-job training,,yes / no,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
csps-ld-access,control,"Control, autonomy and skill use",Access to learning and development,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
csps-challenge,control,"Control, autonomy and skill use",Sufficiently challenged by work,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
ses-skills-use,control,"Control, autonomy and skill use",Opportunity to use knowledge and skills,,5-point agreement,Skills and Employment Survey 2017,"Felstead A, Gallie D, Green F et al., Skills and Employment Survey 2017. Cardiff University, UCL, University of Oxford; ESRC.",permission required; none requested,Periodic Great Britain estimates (SES series).,unverified,False,
perma-relationships,support,Support and relationships,Satisfaction with working relationships,,0 to 10,PERMA-Profiler,"Butler J, Kern ML (2016), The PERMA-Profiler.",permission required; none requested,Instrument-specific reference scores.,unverified,False,PERMA-Profiler item; referenced only.
ewcs-manager-support,support,Support and relationships,Manager provides help and support,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-manager-respect,support,Support and relationships,Manager respects you,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-manager-recognition,support,Support and relationships,Manager gives praise and recognition,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-manager-feedback,support,Support and relationships,Manager gives useful feedback,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-manager-development,support,Support and relationships,Manager encourages development,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
csps-team,support,Support and relationships,Team improves the service together,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
ewcs-colleague-support,support,Support and relationships,Colleagues provide help and support,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-colleague-relations,support,Support and relationships,Gets on well with colleagues,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-fair-treatment,fairness,Fair treatment and conduct,Treated fairly at work,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-bullying-harassment,fairness,Fair treatment and conduct,Experience of bullying or harassment,,yes / no,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
nhs-values-alignment,role,"Role, purpose and recognition",Values aligned with the organisation,,5-point agreement,NHS Staff Survey,NHS Staff Survey (NHS England; Survey Coordination Centre).,NHS,NHS sector benchmarks (NHS England).,unverified,False,NHS Staff Survey item; text withheld; permission would be required to reproduce it and none has been requested.
csps-clear-objectives,role,"Role, purpose and recognition",Clear organisational objectives,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
csps-contribution,role,"Role, purpose and recognition",Own work contributes to objectives,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
ewcs-knows-expectations,role,"Role, purpose and recognition",Knows what is expected at work,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
perma-direction,role,"Role, purpose and recognition",Sense of direction,,0 to 10,PERMA-Profiler,"Butler J, Kern ML (2016), The PERMA-Profiler.",permission required; none requested,Instrument-specific reference scores.,unverified,False,PERMA-Profiler item; referenced only.
ewcs-motivates-performance,role,"Role, purpose and recognition",Organisation motivates good performance,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
oecd-recognition,role,"Role, purpose and recognition",Receives deserved recognition,,5-point agreement,OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
ewcs-work-well-done,role,"Role, purpose and recognition",Feeling of work well done,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
perma-achieve-goals,role,"Role, purpose and recognition",Achieves important goals,,0 to 10,PERMA-Profiler,"Butler J, Kern ML (2016), The PERMA-Profiler.",permission required; none requested,Instrument-specific reference scores.,unverified,False,PERMA-Profiler item; referenced only.
ewcs-useful-work,role,"Role, purpose and recognition",Doing useful work,,5-point (always to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
oecd-help-others,role,"Role, purpose and recognition",Opportunity to help others,,5-point (always to never),OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
perma-absorption,role,"Role, purpose and recognition",Absorption and engagement in work,,0 to 10,PERMA-Profiler,"Butler J, Kern ML (2016), The PERMA-Profiler.",permission required; none requested,Instrument-specific reference scores.,unverified,False,PERMA-Profiler item; referenced only.
ewcs-advancement,change,Job security and change,Opportunities for career advancement,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ewcs-job-insecurity,change,Job security and change,Perceived risk of job loss,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
oecd-undesirable-change,change,Job security and change,Expecting an undesirable change at work,,5-point agreement,OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
csps-change-managed,change,Job security and change,Change is managed well,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
iwbi-commute,time,Working time and the work-home boundary,Commuting stress,,5-point agreement,WELL Building Standard,"International WELL Building Institute, WELL Building Standard.",permission required; none requested,None held / proprietary.,unverified,False,Proprietary source; referenced only.
ewcs-flexibility,time,Working time and the work-home boundary,Flexibility for personal or family matters,,4-point (very easy to very difficult),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
oecd-breaks,time,Working time and the work-home boundary,Sufficient breaks,,5-point (always to never),OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
ewcs-free-time-work,time,Working time and the work-home boundary,Working in free time,,5-point (daily to never),European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
ses-worry-after-work,time,Working time and the work-home boundary,Worrying about work after hours,,6-point (never to all of the time),Skills and Employment Survey 2017,"Felstead A, Gallie D, Green F et al., Skills and Employment Survey 2017. Cardiff University, UCL, University of Oxford; ESRC.",permission required; none requested,Periodic Great Britain estimates (SES series).,unverified,False,
ses-unwinding,time,Working time and the work-home boundary,Difficulty unwinding after work,,6-point (never to all of the time),Skills and Employment Survey 2017,"Felstead A, Gallie D, Green F et al., Skills and Employment Survey 2017. Cardiff University, UCL, University of Oxford; ESRC.",permission required; none requested,Periodic Great Britain estimates (SES series).,unverified,False,
ess-fatigue-home,time,Working time and the work-home boundary,Too tired after work for home tasks,,5-point (never to always),European Social Survey,European Social Survey ERIC (ESS). Rounds vary by item.,ESS,Cross-national benchmarks (ESS).,unverified,False,European Social Survey Round 5.
csps-tools,environment,Physical environment and resources,Has the tools needed for the job,,5-point agreement,Civil Service People Survey,"Cabinet Office, Civil Service People Survey. Crown copyright.",OGL,Civil Service benchmarks (Cabinet Office).,unverified,False,
oecd-facilities,environment,Physical environment and resources,Adequate facilities for health and well-being,,5-point agreement,OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
ewcs-pay-appropriate,financial,Financial security,Paid appropriately for the work,,5-point agreement,European Working Conditions Survey 2015 (6th wave),"Eurofound, European Working Conditions Survey 2015.",Eurofound,European and national distributions (Eurofound).,unverified,False,
oecd-future-living,financial,Financial security,Confidence about future standard of living,,4-point (very to not at all confident),OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,
us-managing-financially,financial,Financial security,Managing financially,,5-point (living comfortably to very difficult),"Understanding Society (UK Household Longitudinal Study), Wave 9","University of Essex, Institute for Social and Economic Research. Understanding Society: the UK Household Longitudinal Study.",permission required; none requested,UK population estimates (UK Data Service).,unverified,False,
fincap-resilience,financial,Financial security,Resilience to an unexpected bill,,scenario response,Financial Capability Survey,"Money and Pensions Service, Financial Capability Survey.",OGL,UK financial capability benchmarks (MaPS).,unverified,False,
nhs-org-action-wellbeing,culture,Organisational health culture and policy,Organisation acts on health and well-being,,yes / no,NHS Staff Survey,NHS Staff Survey (NHS England; Survey Coordination Centre).,NHS,NHS sector benchmarks (NHS England).,unverified,False,NHS Staff Survey item; text withheld; permission would be required to reproduce it and none has been requested.
mh-know-support-access,culture,Organisational health culture and policy,Knows how to access mental well-being support,,5-point agreement,OECD Guidelines on Measuring Subjective Well-being,"OECD (2013), OECD Guidelines on Measuring Subjective Well-being.",permission required; none requested,Instrument-specific reference material (OECD).,unverified,False,Provisional item; primary source unresolved.
