instrument_id,display_name,type,structural,structural_flag,convergent,convergent_flag,crit_reference,crit_reference_flag,crit_organisational,crit_organisational_flag,internal_consistency,internal_consistency_flag,test_retest,test_retest_flag,invariance,invariance_flag,responsiveness,responsiveness_flag,populations,populations_flag,licence_class,licence_verified,n_citations,dataset_version,rubric_version
ons-4,ONS-4 personal wellbeing questions,item-set,Low,general,Low,general,Very low,indirect,Absent,population-general,Not-applicable,category-error,Absent,population-general,Absent,population-general,Absent,population-general,Moderate,direct,open,2026-07-12,14,0.8.0,1.5
who-5,WHO-5 Well-Being Index,multi-item-scale,High,general,High,general,Moderate,indirect,Absent,population-general,High,direct,Low,indirect,Moderate,general,Low,direct,High,direct,free-non-commercial,2026-07-12,37,0.8.0,1.5
wemwbs,Warwick-Edinburgh Mental Wellbeing Scale (WEMWBS) and Short Warwick-Edinburgh Mental Wellbeing Scale (SWEMWBS),multi-item-scale,High,direct,High,general,Low,general,Absent,population-general,High,general,Low,indirect,Moderate,general,Moderate,indirect,High,direct,fee-bearing,2026-09-01,24,0.8.0,1.5
hse-msit,HSE Management Standards Indicator Tool,multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,Very low,direct,High,direct,Absent,population-general,Low,direct,Absent,population-general,Moderate,direct,open,2026-07-12,20,0.8.0,1.5
perma,Workplace PERMA-Profiler (and PERMA-Profiler),multi-item-scale,Low,direct,Moderate,direct,Absent,category-error,Absent,population-general,High,direct,Low,direct,Low,general,Absent,population-general,Moderate,direct,free-non-commercial,2026-07-12,24,0.8.0,1.5
uwes-9,"Utrecht Work Engagement Scale, 9-item (UWES-9)",multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,Low,direct,High,direct,Low,direct,Moderate,direct,Very low,direct,Moderate,direct,free-non-commercial,2026-07-12,27,0.8.0,1.5
phq-9,Patient Health Questionnaire-9 (PHQ-9),multi-item-scale,High,general,Moderate,general,Moderate,indirect,Absent,population-general,High,general,Moderate,general,Low,general,Moderate,indirect,Moderate,general,free-no-permission,2026-07-12,26,0.8.0,1.5
gad-7,GAD-7 (Generalised Anxiety Disorder-7),multi-item-scale,High,general,Moderate,general,Moderate,indirect,Absent,population-general,High,general,Low,general,Moderate,general,Moderate,indirect,High,general,free-no-permission,2026-07-12,24,0.8.0,1.5
k10,Kessler Psychological Distress Scale (K10),multi-item-scale,Moderate,direct,Moderate,indirect,Moderate,direct,Absent,population-general,High,direct,Absent,population-general,Moderate,indirect,Absent,population-general,High,general,free-no-permission,2026-07-12,30,0.8.0,1.5
ghq-12,General Health Questionnaire-12 (GHQ-12),multi-item-scale,Moderate,direct,Moderate,indirect,Moderate,general,Absent,population-general,High,general,Low,indirect,Low,direct,Very low,indirect,Moderate,direct,fee-bearing,2026-07-12,19,0.8.0,1.5
copsoq-iii,"COPSOQ III (Copenhagen Psychosocial Questionnaire, third version, core and dimension scales)",multi-item-scale,Moderate,direct,Moderate,direct,Absent,category-error,Very low,direct,High,direct,Low,direct,Very low,direct,Absent,population-general,High,direct,free-non-commercial,2026-07-12,18,0.8.0,1.5
